S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE
000905.SH,20100118,4744.325,4829.361,4738.911,4829.062
000300.SH,20100119,3506.806,3528.39,3497.094,3507.482
000852.SH,20100119,4736.709,4758.177,4695.717,4740.448
000905.SH,20100119,4835.827,4852.325,4791.99,4830.016
000300.SH,20100120,3512.246,3515.449,3387.818,3394.434
000852.SH,20100120,4742.508,4744.688,4572.717,4586.747
000905.SH,20100120,4830.421,4831.701,4635.669,4651.074
000300.SH,20100121,3397.043,3425.18,3364.723,3408.574
000852.SH,20100121,4586.205,4632.244,4545.288,4606.434
000905.SH,20100121,4646.622,4696.161,4611.76,4667.209
000300.SH,20100122,3364.452,3390.796,3293.194,3366.197
000852.SH,20100122,4553.784,4560.122,4390.847,4471.278
000905.SH,20100122,4613.193,4633.394,4453.69,4537.88
000300.SH,20100125,3340.013,3372.426,3326.266,3328.014
000852.SH,20100125,4439.893,4478.296,4404.216,4407.043
000905.SH,20100125,4515.131,4542.786,4477.187,4481.16
000300.SH,20100126,3328.113,3341.198,3222.14,3242.797
000852.SH,20100126,4406.438,4429.23,4186.373,4226.935
000905.SH,20100126,4467.521,4492.645,4254.323,4294.383
000300.SH,20100127,3243.038,3255.116,3183.365,3198.566
000852.SH,20100127,4219.648,4270.898,4171.263,4194.634
000905.SH,20100127,4290.736,4344.132,4229.517,4267.113
000300.SH,20100128,3195.289,3220.306,3168.463,3206.57
000852.SH,20100128,4188.833,4252.351,4171.813,4248.036
000905.SH,20100128,4266.056,4340.409,4249.771,4336.381
000300.SH,20100129,3190.315,3249.455,3176.916,3204.155
000852.SH,20100129,4227.866,4328.529,4212.453,4290.323
000905.SH,20100129,4316.237,4418.402,4298.654,4374.649
000300.SH,20100201,3198.23,3198.311,3116.439,3152.707
000852.SH,20100201,4284.346,4287.383,4182.131,4239.985
000905.SH,20100201,4366.489,4372.572,4269.33,4331.366
000300.SH,20100202,3170.778,3211.941,3143.085,3146.189
000852.SH,20100202,4248.427,4304.08,4222.169,4225.466
000905.SH,20100202,4344.037,4388.351,4296.883,4301.768
000300.SH,20100203,3160.712,3231.102,3094.568,3230.715
000852.SH,20100203,4227.261,4304.836,4097.351,4304.836
000905.SH,20100203,4299.966,4363.668,4160.352,4363.079
000300.SH,20100204,3206.431,3242.519,3190.437,3218.802
000852.SH,20100204,4283.9,4394.567,4262.708,4364.225
000905.SH,20100204,4342.68,4445.754,4316.813,4408.441
000300.SH,20100205,3147.721,3177.42,3129.921,3153.087
000852.SH,20100205,4272.235,4341.196,4243.407,4281.782
000905.SH,20100205,4312.549,4382.344,4270.71,4311.293
000300.SH,20100208,3152.253,3172.306,3133.808,3150.988
000852.SH,20100208,4272.276,4300.566,4253.317,4278.582
000905.SH,20100208,4299.251,4330.204,4279.662,4310.894
000300.SH,20100209,3147.761,3178.947,3144.478,3169.19
000852.SH,20100209,4264.268,4299.843,4245.518,4277.332
000905.SH,20100209,4300.32,4334.343,4284.517,4311.891
000300.SH,20100210,3195.142,3214.456,3182.834,3214.13
000852.SH,20100210,4294.825,4330.417,4282.895,4330.417
000905.SH,20100210,4333.854,4366.495,4326.019,4366.25
000300.SH,20100211,3216.688,3238.349,3207.165,3220.398
000852.SH,20100211,4329.632,4337.322,4304.24,4307.129
000905.SH,20100211,4367.721,4385.197,4352.114,4356.517
000300.SH,20100212,3232.879,3253.196,3228.738,3251.278
000852.SH,20100212,4311.887,4368.534,4311.887,4366.276
000905.SH,20100212,4365.619,4418.539,4365.477,4416.219
000300.SH,20100222,3248.947,3261.949,3232.784,3233.345
000852.SH,20100222,4362.925,4422.331,4355.043,4392.687
000905.SH,20100222,4412.553,4457.223,4401.057,4419.547
000300.SH,20100223,3225.393,3225.393,3152.934,3198.634
000852.SH,20100223,4389.421,4464.227,4353.047,4464.227
000905.SH,20100223,4414.055,4459.726,4352.442,4459.155
000300.SH,20100224,3177.082,3244.816,3165.133,3244.483
000852.SH,20100224,4443.026,4559.661,4425.658,4559.661
000905.SH,20100224,4438.395,4556.723,4419.452,4556.281
000300.SH,20100225,3252.153,3294.144,3249.329,3292.128
000852.SH,20100225,4566.044,4645.833,4563.953,4645.06
000905.SH,20100225,4565.744,4632.97,4564.024,4629.965
000300.SH,20100226,3286.095,3301.149,3273.693,3281.666
000852.SH,20100226,4632.313,4676.42,4616.131,4653.344
000905.SH,20100226,4618.639,4656.927,4602.016,4634.671
000300.SH,20100301,3290.007,3330.378,3287.556,3324.423
000852.SH,20100301,4656.975,4727.432,4656.975,4721.887
000905.SH,20100301,4635.953,4692.833,4635.953,4686.266
000300.SH,20100302,3327.103,3339.894,3299.685,3311.236
000852.SH,20100302,4721.263,4736.491,4684.113,4724.64
000905.SH,20100302,4692.606,4705.16,4660.166,4690.293
000300.SH,20100303,3313.023,3335.654,3293.916,3335.081
000852.SH,20100303,4716.521,4790.076,4710.672,4788.502
000905.SH,20100303,4690.436,4761.577,4680.311,4758.434
000300.SH,20100304,3338.674,3345.909,3244.978,3250.573
000852.SH,20100304,4788.593,4812.359,4599.47,4617.845
000905.SH,20100304,4763.637,4780.016,4572.07,4586.523
000300.SH,20100305,3253.164,3276.403,3239.677,3259.764
000852.SH,20100305,4613.453,4650.442,4563.105,4617.363
000905.SH,20100305,4590.886,4632.04,4550.096,4604.586
000300.SH,20100308,3268.397,3293.93,3258.034,3286.178
000852.SH,20100308,4625.927,4685.49,4624.213,4676.44
000905.SH,20100308,4618.857,4665.061,4612.218,4654.583
000300.SH,20100309,3285.62,3322.506,3255.982,3305.863
000852.SH,20100309,4671.057,4697.404,4625.14,4682.254
000905.SH,20100309,4653.062,4674.509,4607.864,4660.126
000300.SH,20100310,3304.036,3321.081,3267.761,3279.694
000852.SH,20100310,4675.988,4696.869,4593.548,4630.01
000905.SH,20100310,4659.5,4674.064,4564.431,4598.994
000300.SH,20100311,3282.199,3303.488,3251.704,3276.705
000852.SH,20100311,4624.902,4643.78,4560.091,4605.249
000905.SH,20100311,4594.501,4608.643,4519.026,4562.872
000300.SH,20100312,3277.309,3284.263,3232.117,3233.126
000852.SH,20100312,4603.95,4613.168,4526.867,4532.081
000905.SH,20100312,4561.609,4575.996,4489.534,4492.861
000300.SH,20100315,3231.216,3234.821,3171.803,3183.183
000852.SH,20100315,4523.607,4530.222,4468.316,4498.085
000905.SH,20100315,4485.875,4498.103,4426.189,4454.76
000300.SH,20100316,3183.775,3204.289,3169.098,3203.971
000852.SH,20100316,4494.437,4555.309,4487.258,4555.309
000905.SH,20100316,4453.812,4492.04,4426.607,4491.465
000300.SH,20100317,3214.216,3273.998,3207.271,3273.916
000852.SH,20100317,4566.41,4674.636,4562.888,4674.636
000905.SH,20100317,4500.427,4616.109,4500.255,4616.053
000300.SH,20100318,3277.883,3295.368,3256.593,3267.555
000852.SH,20100318,4680.967,4702.177,4661.865,4686.251
000905.SH,20100318,4627.998,4653.681,4605.912,4630.953
000300.SH,20100319,3270.978,3296.411,3251.136,3293.871
000852.SH,20100319,4685.386,4726.736,4675.29,4723.848
000905.SH,20100319,4632.05,4665.909,4609.013,4663.903
000300.SH,20100322,3297.824,3313.922,3288.506,3302.628
000852.SH,20100322,4727.618,4767.157,4717.602,4766.944
000905.SH,20100322,4669.413,4695.082,4649.531,4690.198
000300.SH,20100323,3305.554,3309.12,3272.921,3275.573
000852.SH,20100323,4764.459,4772.878,4722.233,4739.367
000905.SH,20100323,4690.273,4697.727,4642.975,4658.626
000300.SH,20100324,3282.052,3298.543,3271.033,3276.669
000852.SH,20100324,4740.847,4764.168,4734.839,4750.988
000905.SH,20100324,4662.987,4692.318,4662.536,4683.065
000300.SH,20100325,3270.39,3270.39,3222.821,3229.128
000852.SH,20100325,4738.477,4738.477,4673.918,4678.813
000905.SH,20100325,4675.222,4675.222,4609.165,4620.749
000300.SH,20100326,3226.8,3285.388,3220.594,3275.002
000852.SH,20100326,4671.039,4745.956,4667.105,4742.465
000905.SH,20100326,4609.752,4693.762,4601.691,4686.931
000300.SH,20100329,3295.763,3363.605,3293.671,3358.54
000852.SH,20100329,4754.341,4776.448,4730.684,4770.536
000905.SH,20100329,4701.789,4723.745,4682.409,4723.611
000300.SH,20100330,3361.353,3372.265,3350.313,3366.708
000852.SH,20100330,4768.339,4804.223,4757.409,4800.452
000905.SH,20100330,4720.577,4748.908,4708.428,4744.423
000300.SH,20100331,3369.193,3369.901,3338.745,3345.607
000852.SH,20100331,4796.983,4822.084,4785.135,4822.084
000905.SH,20100331,4744.344,4757.316,4726.518,4756.157
000300.SH,20100401,3349.884,3392.481,3349.884,3391.935
000852.SH,20100401,4825.024,4904.303,4825.017,4904.303
