S_INFO_WINDCODE,TRADE_DT,LONG_MARGIN_RATIO,SHORT_MARGIN_RATIO
IC1710.CFE,20170821,30,30.0
IF1804.CFE,20180223,15,15.0
IC1801.CFE,20171120,30,30.0
IF1801.CFE,20171120,15,15.0
IC1802.CFE,20171218,30,30.0
IF1802.CFE,20171218,15,15.0
IC1811.CFE,20180925,30,30.0
IF1811.CFE,20180925,15,15.0
IF1803.CFE,20170724,20,20.0
IF1809.CFE,20180122,15,15.0
IC1809.CFE,20180122,30,30.0
IF1708.CFE,20170619,20,20.0
IC1708.CFE,20170619,30,30.0
IC1803.CFE,20170724,30,30.0
IC1709.CFE,20170123,40,40.0
IF1709.CFE,20170123,40,40.0
IC1703.CFE,20170220,30,30.0
IC1706.CFE,20170220,30,30.0
IC1709.CFE,20170220,30,30.0
IF1703.CFE,20170220,20,20.0
IF1706.CFE,20170220,20,20.0
IF1709.CFE,20170220,20,20.0
IF1705.CFE,20170320,20,20.0
IC1705.CFE,20170320,30,30.0
IC1707.CFE,20170522,30,30.0
IF1707.CFE,20170522,20,20.0
IC1806.CFE,20171023,30,30.0
IF1806.CFE,20171023,15,15.0
IC1808.CFE,20180619,30,30.0
IF1808.CFE,20180619,15,15.0
IC1711.CFE,20170918,30,30.0
IF1711.CFE,20170918,15,15.0
IF1906.CFE,20181022,15,15.0
IC1906.CFE,20181022,30,30.0
IF1901.CFE,20181119,15,15.0
IC1901.CFE,20181119,30,30.0
IF1611.CFE,20160920,40,40.0
IC1611.CFE,20160920,40,40.0
IC1612.CFE,20160418,40,40.0
IF1612.CFE,20160418,40,40.0
IC1701.CFE,20161121,40,40.0
IF1701.CFE,20161121,40,40.0
IC1608.CFE,20160620,40,40.0
IF1608.CFE,20160620,40,40.0
IF1702.CFE,20161219,40,40.0
IC1702.CFE,20161219,40,40.0
IC1604.CFE,20160222,40,40.0
IF1604.CFE,20160222,40,40.0
IF1610.CFE,20160822,40,40.0
IC1610.CFE,20160822,40,40.0
IF1609.CFE,20160118,40,40.0
IC1609.CFE,20160118,40,40.0
IF1605.CFE,20160321,40,40.0
IC1605.CFE,20160321,40,40.0
IC1706.CFE,20161024,40,40.0
IF1706.CFE,20161024,40,40.0
IF1703.CFE,20160718,40,40.0
IC1703.CFE,20160718,40,40.0
IC1607.CFE,20160523,40,40.0
IF1607.CFE,20160523,40,40.0
IC2006.CFE,20191021,12,12.0
IF2006.CFE,20191021,10,10.0
IC2001.CFE,20191118,12,12.0
IF2001.CFE,20191118,10,10.0
IF2005.CFE,20200323,10,10.0
IC2005.CFE,20200323,12,12.0
IF1911.CFE,20190923,10,10.0
IC1911.CFE,20190923,12,12.0
IC2002.CFE,20191223,12,12.0
IF2002.CFE,20191223,10,10.0
IC2004.CFE,20200224,12,12.0
IF2004.CFE,20200224,10,10.0
IC2009.CFE,20200120,12,12.0
IF2009.CFE,20200120,10,10.0
IF1903.CFE,20180723,15,15.0
IC1903.CFE,20180723,30,30.0
IC2003.CFE,20190722,12,12.0
IF2003.CFE,20190722,10,10.0
IC1904.CFE,20190218,15,15.0
IF1904.CFE,20190218,10,10.0
IC1908.CFE,20190624,12,12.0
IF1908.CFE,20190624,10,10.0
IC1812.CFE,20181204,15,15.0
IC1901.CFE,20181204,15,15.0
IC1903.CFE,20181204,15,15.0
IC1906.CFE,20181204,15,15.0
IF1812.CFE,20181204,10,10.0
IF1901.CFE,20181204,10,10.0
IF1903.CFE,20181204,10,10.0
IF1906.CFE,20181204,10,10.0
IC1804.CFE,20180223,30,30.0
IC1907.CFE,20190520,12,12.0
IF1907.CFE,20190520,10,10.0
IF1812.CFE,20180423,15,15.0
IC1812.CFE,20180423,30,30.0
IF1912.CFE,20190422,10,10.0
IC1912.CFE,20190422,12,12.0
IC1905.CFE,20190422,12,12.0
IC1909.CFE,20190422,12,12.0
IC1906.CFE,20190422,12,12.0
IF1910.CFE,20190819,10,10.0
IC1910.CFE,20190819,12,12.0
IC1810.CFE,20180820,30,30.0
IF1810.CFE,20180820,15,15.0
IC1902.CFE,20181224,15,15.0
IF1902.CFE,20181224,10,10.0
IF1909.CFE,20190121,10,10.0
IC1909.CFE,20190121,15,15.0
IF1905.CFE,20190318,10,10.0
IC1905.CFE,20190318,15,15.0
IF1807.CFE,20180521,15,15.0
IC1807.CFE,20180521,30,30.0
IC1805.CFE,20180319,30,30.0
IF1805.CFE,20180319,15,15.0
IC2212.CFE,20220418,14,14.0
IF2212.CFE,20220418,12,12.0
IF2205.CFE,20220429,13,13.0
IC2212.CFE,20220429,15,15.0
IC2105.CFE,20210322,14,14.0
IF2105.CFE,20210322,12,12.0
IC2209.CFE,20220429,15,15.0
IF2209.CFE,20220429,13,13.0
IF2212.CFE,20220429,13,13.0
IC2206.CFE,20220429,15,15.0
IC2205.CFE,20220429,15,15.0
IF2206.CFE,20220429,13,13.0
IF2212.CFE,20220506,12,12.0
IC2212.CFE,20220506,14,14.0
IC2209.CFE,20220124,14,14.0
IF2209.CFE,20220124,12,12.0
IF2202.CFE,20211220,12,12.0
IC2202.CFE,20211220,14,14.0
IF2206.CFE,20211018,12,12.0
IC2206.CFE,20211018,14,14.0
IC2201.CFE,20211122,14,14.0
IF2201.CFE,20211122,12,12.0
IF2204.CFE,20220221,12,12.0
IC2204.CFE,20220221,14,14.0
IC2205.CFE,20220321,14,14.0
IF2205.CFE,20220321,12,12.0
IC2011.CFE,20200921,12,12.0
IF2011.CFE,20200921,10,10.0
IC2007.CFE,20200518,12,12.0
IF2007.CFE,20200518,10,10.0
IC2102.CFE,20201221,13,13.0
IF2102.CFE,20201221,11,11.0
IC2101.CFE,20201230,14,14.0
IC2102.CFE,20201230,14,14.0
IC2103.CFE,20201230,14,14.0
IC2106.CFE,20201230,14,14.0
IF2101.CFE,20201230,12,12.0
IF2102.CFE,20201230,12,12.0
IF2103.CFE,20201230,12,12.0
IF2106.CFE,20201230,12,12.0
IC2011.CFE,20200929,13,13.0
IF2011.CFE,20200929,13,13.0
IC2010.CFE,20200929,13,13.0
IF2010.CFE,20200929,13,13.0
IC2103.CFE,20200929,13,13.0
IF2103.CFE,20200929,13,13.0
IC2012.CFE,20200929,13,13.0
IF2012.CFE,20200929,13,13.0
IC2008.CFE,20200622,12,12.0
IF2008.CFE,20200622,10,10.0
IC2109.CFE,20210118,14,14.0
IF2109.CFE,20210118,12,12.0
IC2103.CFE,20200720,12,12.0
IF2103.CFE,20200720,10,10.0
IF2010.CFE,20201009,11,11.0
IF2011.CFE,20201009,11,11.0
IF2012.CFE,20201009,11,11.0
IF2103.CFE,20201009,11,11.0
IF2012.CFE,20200420,10,10.0
IC2012.CFE,20200420,12,12.0
IC2106.CFE,20201019,13,13.0
IF2106.CFE,20201019,11,11.0
IC2104.CFE,20210222,14,14.0
IF2104.CFE,20210222,12,12.0
IC2010.CFE,20200824,12,12.0
IF2010.CFE,20200824,10,10.0
IC2101.CFE,20201123,13,13.0
IF2101.CFE,20201123,11,11.0
