S_INFO_WINDCODE,LIMIT_PCT,EFFECTIVE_DATE
IF1606.CFE,5.0,20160104
IF1602.CFE,5.0,20160104
IC1602.CFE,5.0,20160104
IF1601.CFE,5.0,20160104
IC1601.CFE,5.0,20160104
IC1712.CFE,10.0,20170424
IF1712.CFE,10.0,20170424
IF1605.CFE,20.0,20160520
IC1605.CFE,20.0,20160520
IF1607.CFE,10.0,20160523
IF1602.CFE,20.0,20160219
IC1602.CFE,20.0,20160219
IC1703.CFE,20.0,20170317
IF1703.CFE,20.0,20170317
IC1612.CFE,10.0,20160418
IF1612.CFE,10.0,20160418
IF1605.CFE,10.0,20160321
IC1605.CFE,10.0,20160321
IC1612.CFE,20.0,20161216
IF1612.CFE,20.0,20161216
IC1603.CFE,10.0,20150720
IF1603.CFE,10.0,20150720
IF1408.CFE,10.0,20140623
IC1507.CFE,10.0,20150518
IF1504.CFE,20.0,20150417
IC1507.CFE,20.0,20150717
IF1507.CFE,20.0,20150717
IF1407.CFE,10.0,20140519
IF1509.CFE,20.0,20150918
IF1408.CFE,20.0,20140815
IF1507.CFE,10.0,20150518
IF1506.CFE,20.0,20150619
IC1606.CFE,10.0,20151019
IF1606.CFE,10.0,20151019
IF1602.CFE,10.0,20151221
IC1602.CFE,10.0,20151221
IF1511.CFE,20.0,20151120
IF1410.CFE,10.0,20140818
IF1601.CFE,10.0,20151123
IC1601.CFE,10.0,20151123
IF1510.CFE,10.0,20150824
IF1506.CFE,10.0,20141020
IF1505.CFE,20.0,20150515
IC1509.CFE,10.0,20150416
IF1501.CFE,10.0,20141124
IF1501.CFE,20.0,20150116
IF1503.CFE,20.0,20150320
IF1504.CFE,10.0,20150226
IF1511.CFE,10.0,20150921
IF1512.CFE,10.0,20150420
IF1512.CFE,20.0,20151218
IF1502.CFE,20.0,20150225
IC1511.CFE,10.0,20150921
IC1511.CFE,20.0,20151120
IC1506.CFE,20.0,20150619
IC1509.CFE,20.0,20150918
IC1512.CFE,20.0,20151218
IC1510.CFE,10.0,20150824
IC1506.CFE,10.0,20150416
IC1512.CFE,10.0,20150416
IF1508.CFE,10.0,20150623
IC1508.CFE,10.0,20150623
IF1509.CFE,10.0,20150119
IF1505.CFE,10.0,20150323
IF1503.CFE,10.0,20140721
IF1404.CFE,10.0,20140224
IF1411.CFE,20.0,20141121
IF1406.CFE,20.0,20140620
IF1909.CFE,10.0,20190121
IC1909.CFE,10.0,20190121
IC1810.CFE,20.0,20181019
IF1810.CFE,20.0,20181019
IC1906.CFE,10.0,20181022
IF1906.CFE,10.0,20181022
IC1811.CFE,20.0,20181116
IF1811.CFE,20.0,20181116
IC1901.CFE,10.0,20181119
IF1901.CFE,10.0,20181119
IF1402.CFE,20.0,20140221
IF1809.CFE,20.0,20180921
IC1809.CFE,20.0,20180921
IC1801.CFE,20.0,20180119
IF1801.CFE,20.0,20180119
IF1804.CFE,20.0,20180420
IF1812.CFE,10.0,20180423
IC1812.CFE,10.0,20180423
IC1804.CFE,20.0,20180420
IC1709.CFE,20.0,20170915
IF1709.CFE,20.0,20170915
IC1706.CFE,20.0,20170616
IF1706.CFE,20.0,20170616
IF1711.CFE,20.0,20171117
IC1711.CFE,20.0,20171117
IC1805.CFE,20.0,20180518
IC1807.CFE,10.0,20180521
IF1805.CFE,20.0,20180518
IF1807.CFE,10.0,20180521
IF1708.CFE,20.0,20170818
IC1708.CFE,20.0,20170818
IC1801.CFE,10.0,20171120
IF1801.CFE,10.0,20171120
IC1803.CFE,10.0,20170724
IF1803.CFE,10.0,20170724
IF1708.CFE,10.0,20170619
IC1708.CFE,10.0,20170619
IC1806.CFE,20.0,20180615
IC1808.CFE,10.0,20180619
IF1806.CFE,20.0,20180615
IF1808.CFE,10.0,20180619
IC1809.CFE,10.0,20180122
IF1809.CFE,10.0,20180122
IC1712.CFE,20.0,20171215
IF1712.CFE,20.0,20171215
IC1807.CFE,20.0,20180720
IC1903.CFE,10.0,20180723
IF1807.CFE,20.0,20180720
IF1903.CFE,10.0,20180723
IC1704.CFE,10.0,20170220
IC1711.CFE,10.0,20170918
IF1711.CFE,10.0,20170918
IC1808.CFE,20.0,20180817
IC1810.CFE,10.0,20180820
IF1808.CFE,20.0,20180817
IF1810.CFE,10.0,20180820
IF1704.CFE,10.0,20170220
IC1811.CFE,10.0,20180925
IF1811.CFE,10.0,20180925
IC1804.CFE,10.0,20180223
IF1804.CFE,10.0,20180223
IC1802.CFE,20.0,20180222
IF1802.CFE,20.0,20180222
IC1802.CFE,10.0,20171218
IF1802.CFE,10.0,20171218
IC1806.CFE,10.0,20171023
IF1806.CFE,10.0,20171023
IC1707.CFE,20.0,20170721
IF1707.CFE,20.0,20170721
IC1803.CFE,20.0,20180316
IC1805.CFE,10.0,20180319
IF1803.CFE,20.0,20180316
IF1805.CFE,10.0,20180319
IF1710.CFE,10.0,20170821
IC1710.CFE,10.0,20170821
IC2008.CFE,20.0,20200821
IF2008.CFE,20.0,20200821
IC2010.CFE,10.0,20200824
IF2010.CFE,10.0,20200824
IC2009.CFE,20.0,20200918
IF2009.CFE,20.0,20200918
IC2011.CFE,10.0,20200921
IF2011.CFE,10.0,20200921
IC2005.CFE,20.0,20200515
IF2005.CFE,20.0,20200515
IC2007.CFE,10.0,20200518
IF2007.CFE,10.0,20200518
IF1908.CFE,20.0,20190816
IC1908.CFE,20.0,20190816
IF1910.CFE,10.0,20190819
IC1910.CFE,10.0,20190819
IC2006.CFE,20.0,20200619
IF2006.CFE,20.0,20200619
IC2008.CFE,10.0,20200622
IF2008.CFE,10.0,20200622
IC2004.CFE,20.0,20200417
IF2004.CFE,20.0,20200417
IF2012.CFE,10.0,20200420
IC2012.CFE,10.0,20200420
IC1910.CFE,20.0,20191018
IF1910.CFE,20.0,20191018
IC2006.CFE,10.0,20191021
IF2006.CFE,10.0,20191021
IC1909.CFE,20.0,20190920
IF1909.CFE,20.0,20190920
IF1911.CFE,10.0,20190923
IC1911.CFE,10.0,20190923
IC1911.CFE,20.0,20191115
